ticket_id,customer_id,issue_type,issue_description,priority,date_submitted,response_time_minutes,resolution_time_minutes,satisfaction_rating,customer_comments,agent_id,resolved
T0001,C0511,API Issue,I'm pleased with how my issue was handled. Thanks!,High,2023-03-25,240,927,4,I'm pleased with how my issue was handled. Thanks!,A004,True
T0002,C0729,Login Issue,Excellent service! The agent went above and beyond.,Low,2023-04-06,223,534,5,The problem still persists. Not resolved yet.,A004,False
T0003,C0439,Report Generation,Resolution was satisfactory but could be improved.,Low,2023-04-25,214,592,1,"The issue was escalated quickly, which was appreciated.",A004,False
T0004,C0100,Data Import,Agent was very helpful and polite. Great service!,High,2023-02-20,110,864,2,The issue was resolved quickly. Very satisfied!,A003,True
T0005,C0258,Feature Request,"My issue was handled well, but follow-up could be better.",Medium,2023-01-18,151,193,2,The problem still persists. Not resolved yet.,A004,False
T0006,C0526,Data Import,It took too long to resolve the issue. Not happy.,Low,2023-06-10,134,194,2,This is the second time I'm facing this issue. Frustrating!,A002,True
T0007,C0415,Feature Request,It took too long to resolve the issue. Not happy.,High,2023-01-10,64,232,1,The support team was unresponsive at first.,A001,False
T0008,C0602,Login Issue,Resolution was satisfactory but could be improved.,Critical,2023-02-22,132,578,5,Good support but the resolution could have been faster.,A002,True
T0009,C0934,API Issue,It took too long to resolve the issue. Not happy.,High,2023-06-23,57,46,4,This is the second time I'm facing this issue. Frustrating!,A004,False
T0010,C0410,Feature Request,Good support but the resolution could have been faster.,Critical,2023-03-28,223,1230,3,This was a critical issue that took too long to resolve.,A002,True
T0011,C0966,Report Generation,Agent was very helpful and polite. Great service!,High,2023-03-12,192,1284,2,The issue was ignored for too long. Disappointing.,A001,False
T0012,C0342,Billing Issue,Excellent service! The agent went above and beyond.,Low,2023-05-07,35,757,4,The issue was ignored for too long. Disappointing.,A003,True
T0013,C0942,Billing Issue,The issue was ignored for too long. Disappointing.,Critical,2023-02-21,121,738,4,It took too long to resolve the issue. Not happy.,A003,False
T0014,C0192,Login Issue,Thank you for resolving my issue quickly.,Low,2023-04-04,129,999,5,Still waiting for a resolution. Not happy with the delay.,A003,False
T0015,C0270,Data Import,The agent understood my problem and solved it efficiently.,High,2023-06-08,33,657,4,This is the second time I'm facing this issue. Frustrating!,A003,True
T0016,C0836,Billing Issue,Thank you for resolving my issue quickly.,High,2023-05-26,213,361,1,This is the second time I'm facing this issue. Frustrating!,A001,False
T0017,C0218,API Issue,I'm pleased with how my issue was handled. Thanks!,Critical,2023-03-06,178,652,4,This is the second time I'm facing this issue. Frustrating!,A004,True
T0018,C0481,UI Bug,Agent was knowledgeable and solved my issue efficiently.,Medium,2023-06-22,109,278,4,Excellent service! The agent went above and beyond.,A004,True
T0019,C0108,Feature Request,It took too long to resolve the issue. Not happy.,High,2023-04-03,51,293,3,Thank you for resolving my issue quickly.,A005,True
T0020,C0202,Data Import,Agent was very helpful and polite. Great service!,Medium,2023-03-13,55,685,1,Happy with the response time but the resolution was lacking.,A002,True
T0021,C0863,API Issue,It took too long to resolve the issue. Not happy.,Medium,2023-03-09,145,638,5,The issue was resolved quickly. Very satisfied!,A004,False
T0022,C0447,Report Generation,The problem still persists. Not resolved yet.,High,2023-01-31,112,185,2,Agent was knowledgeable and solved my issue efficiently.,A001,True
T0023,C0386,Data Import,The agent understood my problem and solved it efficiently.,Medium,2023-05-15,149,234,2,Agent was knowledgeable and solved my issue efficiently.,A005,False
T0024,C0928,Data Import,Happy with the response time but the resolution was lacking.,High,2023-05-02,142,932,1,The support team was unresponsive at first.,A003,True
T0025,C0256,UI Bug,This was a critical issue that took too long to resolve.,High,2023-06-06,69,347,3,This is the second time I'm facing this issue. Frustrating!,A001,True
T0026,C0741,Login Issue,Agent was very helpful and polite. Great service!,Low,2023-06-02,188,865,3,"My issue was handled well, but follow-up could be better.",A004,False
T0027,C0658,UI Bug,Agent was knowledgeable and solved my issue efficiently.,Low,2023-03-08,172,1179,5,Still waiting for a resolution. Not happy with the delay.,A004,False
T0028,C0988,UI Bug,"Overall satisfied, but the process could be faster.",Low,2023-01-18,142,1055,4,Excellent service! The agent went above and beyond.,A002,True
T0029,C0304,Login Issue,It took too long to resolve the issue. Not happy.,Critical,2023-05-28,208,719,4,The problem still persists. Not resolved yet.,A004,True
T0030,C0648,Billing Issue,The issue was ignored for too long. Disappointing.,Medium,2023-05-25,15,556,1,This is the second time I'm facing this issue. Frustrating!,A004,False
T0031,C0195,Billing Issue,Agent was knowledgeable and solved my issue efficiently.,High,2023-06-13,105,814,1,Good support but the resolution could have been faster.,A005,False
T0032,C0412,Feature Request,Happy with the response time but the resolution was lacking.,High,2023-01-18,43,105,2,It took too long to resolve the issue. Not happy.,A003,False
T0033,C0352,Billing Issue,This is the second time I'm facing this issue. Frustrating!,Low,2023-05-03,170,1189,3,It took too long to resolve the issue. Not happy.,A003,True
T0034,C0871,Data Import,The issue was resolved quickly. Very satisfied!,Low,2023-06-17,77,650,3,Thank you for resolving my issue quickly.,A003,False
T0035,C0419,Billing Issue,The support team was unresponsive at first.,Critical,2023-05-15,235,717,2,"My issue was handled well, but follow-up could be better.",A002,True
T0036,C0994,Billing Issue,Resolution was satisfactory but could be improved.,High,2023-03-04,36,123,1,Agent was very helpful and polite. Great service!,A004,False
T0037,C0834,Report Generation,Resolution was satisfactory but could be improved.,Medium,2023-03-16,76,1363,4,The problem still persists. Not resolved yet.,A002,False
T0038,C0442,Login Issue,"The issue was escalated quickly, which was appreciated.",High,2023-04-07,62,948,4,The issue was resolved quickly. Very satisfied!,A005,True
T0039,C0553,Data Import,Thank you for resolving my issue quickly.,Low,2023-05-31,132,1020,4,The issue was ignored for too long. Disappointing.,A005,False
T0040,C0695,Billing Issue,Agent was very helpful and polite. Great service!,Medium,2023-04-12,199,1165,2,The agent understood my problem and solved it efficiently.,A005,False
T0041,C0609,Feature Request,Good support but the resolution could have been faster.,High,2023-02-13,131,944,2,I'm pleased with how my issue was handled. Thanks!,A002,False
T0042,C0569,Billing Issue,The problem still persists. Not resolved yet.,High,2023-02-21,93,597,2,The issue was resolved quickly. Very satisfied!,A004,True
T0043,C0877,UI Bug,The issue was ignored for too long. Disappointing.,Critical,2023-07-01,186,347,3,This was a critical issue that took too long to resolve.,A002,False
T0044,C0627,UI Bug,The issue was ignored for too long. Disappointing.,Medium,2023-03-17,92,310,3,I'm pleased with how my issue was handled. Thanks!,A001,True
T0045,C0443,Data Import,Good support but the resolution could have been faster.,High,2023-02-02,226,1073,3,The problem still persists. Not resolved yet.,A001,False
T0046,C0112,API Issue,The issue was resolved quickly. Very satisfied!,High,2023-05-29,155,264,2,This was a critical issue that took too long to resolve.,A004,True
T0047,C0717,Data Import,The issue was resolved quickly. Very satisfied!,Medium,2023-01-02,150,1154,2,It took too long to resolve the issue. Not happy.,A004,True
T0048,C0219,Data Import,Agent was knowledgeable and solved my issue efficiently.,Medium,2023-01-30,100,470,2,It took too long to resolve the issue. Not happy.,A004,False
T0049,C0591,Report Generation,This is the second time I'm facing this issue. Frustrating!,Low,2023-06-12,115,423,1,Agent was knowledgeable and solved my issue efficiently.,A004,False
T0050,C0941,Billing Issue,The agent understood my problem and solved it efficiently.,Medium,2023-01-01,106,1330,4,Happy with the response time but the resolution was lacking.,A005,False
